product_id,item_number,price,image_path
1200011,005//1771X,750,images\1200011.JPG
1200013,005//1932X,750,images\1200013.JPG
1200050,005//U4725,3410,images\1200050.JPG
1200051,005//U4736,3410,images\1200051.JPG
1200104,059//1121X,980,images\1200104.JPG
1200120,059//U408B,1980,images\1200120.JPG
1200126,070//1121X,1050,images\1200126.JPG
1200135,070//1932X,1050,images\1200135.JPG
1200143,070//2223X,1140,images\1200143.JPG
1200262,086//2285X,1140,images\1200262.JPG
1200263,086//2286X,1140,images\1200263.JPG
1200315,160//2285X,1480,images\1200315.JPG
1200316,160//2287X,1510,images\1200316.JPG
1200361,201//2222X,2680,images\1200361.JPG
1200429,248//U4654,5300,images\1200429.JPG
1200474,261//2285X,850,images\1200474.JPG
1200535,337//1932X,1050,images\1200535.JPG
1200537,337//2108X,1050,images\1200537.JPG
1200540,337//2225X,1140,images\1200540.JPG
1200572,337//U4650,1420,images\1200572.JPG
1200577,337//U4736,4910,images\1200577.JPG
1200618,410//1932X,2390,images\1200618.JPG
1200642,419//U4736,8250,images\1200642.JPG
1200717,438//1913,1340,images\1200717.JPG
1200744,448//U742,2320,images\1200744.JPG
1200746,448//U871,2320,images\1200746.JPG
1200823,590//2286,660,images\1200823.JPG
1200850,591//2285,730,images\1200850.JPG
1200851,591//2286,750,images\1200851.JPG
1200871,617//U4654,8670,images\1200871.JPG
1200898,723//1133,2120,images\1200898.JPG
1200908,723//570X,1510,images\1200908.JPG
1201015,845//U4725,8320,images\1201015.JPG
1201021,891//2222X,3050,images\1201021.JPG
1201043,904//1913X,760,images\1201043.JPG
1201049,904//375J,840,images\1201049.JPG
1201132,959//U871,2050,images\1201132.JPG
1201169,A44//U408,6840,images\1201169.JPG
1201242,A61//2218X,2770,images\1201242.JPG
1201283,A84//U408,3720,images\1201283.JPG
1201425,B89//2286X,930,images\1201425.JPG
1201453,C21//U408,2680,images\1201453.JPG
1201467,C40//1535X,1430,images\1201467.JPG
1201477,C40//2286X,1570,images\1201477.JPG
1201514,C83//2218,490,images\1201514.JPG
1201572,026//2286X,1780,images\1201572.JPG
1201613,112//2222X,1250,images\1201613.JPG
1201614,112//721X,1250,images\1201614.JPG
1201615,112//2225X,1250,images\1201615.JPG
1201623,160//2286X,1510,images\1201623.JPG
1201624,160//1932X,1340,images\1201624.JPG
1201643,244//U408,2060,images\1201643.JPG
1201670,337//2286X,1140,images\1201670.JPG
1201671,337//2285X,1140,images\1201671.JPG
1201776,768//1525X,1250,images\1201776.JPG
1201802,904//2223X,840,images\1201802.JPG
1201839,A25//2286X,1400,images\1201839.JPG
1201858,A61//61A,2770,images\1201858.JPG
1201859,A61//2225X,2770,images\1201859.JPG
1201871,B47//36X,440,images\1201871.JPG
1201918,D37//U4657,5970,images\1201918.JPG
1201926,005//U4638,4070,images\1201926.JPG
1201930,005//U4783,1540,images\1201930.JPG
1201935,014//2222X,1940,images\1201935.JPG
1201938,014//2225X,1910,images\1201938.JPG
1202005,059//70X,1050,images\1202005.JPG
1202009,059//U4704,4440,images\1202009.JPG
1202033,070//U1477,2800,images\1202033.JPG
1202036,070//U3059,2800,images\1202036.JPG
1202047,070//U4783,1980,images\1202047.JPG
1202112,141//2222X,2350,images\1202112.JPG
1202127,142//2108X,1720,images\1202127.JPG
1202174,179//U408,5460,images\1202174.JPG
1202209,244//U4725,4250,images\1202209.JPG
1202246,261//2290X,840,images\1202246.JPG
1202283,337//70X,1140,images\1202283.JPG
1202286,337//U1477,2800,images\1202286.JPG
1202295,337//U408,2230,images\1202295.JPG
1202300,337//U4704,4910,images\1202300.JPG
1202301,337//U4781,1460,images\1202301.JPG
1202303,337//U4783,2230,images\1202303.JPG
1202334,410//U4644,3250,images\1202334.JPG
1202362,419//U408,3720,images\1202362.JPG
1202365,419//U4781,2450,images\1202365.JPG
1202375,438//2339,1480,images\1202375.JPG
1202413,563//2222,820,images\1202413.JPG
1202482,617//2321X,4420,images\1202482.JPG
1202485,617//U4781,5720,images\1202485.JPG
1202516,717//U1472,6750,images\1202516.JPG
1202519,717//U1912,6750,images\1202519.JPG
1202547,768//U1477,3050,images\1202547.JPG
1202555,768//U4638,6050,images\1202555.JPG
1202624,904//U4783,1050,images\1202624.JPG
1202633,905//2222,1140,images\1202633.JPG
1202639,906//2222,1140,images\1202639.JPG
1202640,906//2225,1130,images\1202640.JPG
1202664,926//U4783,3900,images\1202664.JPG
1202670,927//2222,910,images\1202670.JPG
1202689,959//70X,1650,images\1202689.JPG
1202872,C03//U4783,2290,images\1202872.JPG
1202888,C21//70X,1510,images\1202888.JPG
1202969,C71//U4644,440,images\1202969.JPG
1202970,C71//U4804,440,images\1202970.JPG
1202971,C72//1525,230,images\1202971.JPG
1202987,C83//70,490,images\1202987.JPG
1203005,D04//2321X,1080,images\1203005.JPG
1203045,D26//1525X,530,images\1203045.JPG
1203071,D61//2321X,4270,images\1203071.JPG
1203075,D62//2321,1130,images\1203075.JPG
1203103,D82//2108X,2610,images\1203103.JPG
1203105,D82//U4783,3540,images\1203105.JPG
1203137,059//U4783,1980,images\1203137.JPG
1203141,070//U3060,2800,images\1203141.JPG
1203146,070//U4666,5290,images\1203146.JPG
1203152,073//U408A,2510,images\1203152.JPG
1203154,073//U4706,4980,images\1203154.JPG
1203170,112//U4804,1540,images\1203170.JPG
1203183,159//U4654,4050,images\1203183.JPG
1203186,174//U4638,4160,images\1203186.JPG
1203217,264//U3953,4150,images\1203217.JPG
1203236,374//U408,4110,images\1203236.JPG
1203299,591//U4783,1450,images\1203299.JPG
1203307,613//U4704,1770,images\1203307.JPG
1203308,617//U408,8670,images\1203308.JPG
1203328,747//U408A,5260,images\1203328.JPG
1203364,845//U4783,3760,images\1203364.JPG
1203372,905//U4704,2740,images\1203372.JPG
1203376,906//U4704,2740,images\1203376.JPG
1203411,A30//U4769,7770,images\1203411.JPG
1203447,B38//U408A,7330,images\1203447.JPG
1203482,C21//U4654,2680,images\1203482.JPG
1203483,C21//U4783,2680,images\1203483.JPG
1203512,C67//U4804,1310,images\1203512.JPG
1203513,C71//U4769,850,images\1203513.JPG
1203516,C72//U4769,850,images\1203516.JPG
1203518,C72//U4783,440,images\1203518.JPG
1203519,C72//U4804,440,images\1203519.JPG
1203520,C73//U4769,850,images\1203520.JPG
1203548,D04//U4783,1980,images\1203548.JPG
1203554,D12//U4804,4860,images\1203554.JPG
1203641,059//2286X,1080,images\1203641.JPG
1203646,059//U4725,4440,images\1203646.JPG
1203692,112//1118X,1130,images\1203692.JPG
1203751,160//U4725,5870,images\1203751.JPG
1203752,160//U4736,5870,images\1203752.JPG
1203759,174//1121X,810,images\1203759.JPG
1203765,174//2286X,840,images\1203765.JPG
1203924,507//U4725,12600,images\1203924.JPG
1203930,556//2286X,840,images\1203930.JPG
1204034,768//U3953,4150,images\1204034.JPG
1204072,878//U408A,5750,images\1204072.JPG
1204082,889//2286,560,images\1204082.JPG
1204163,A60//2285X,1170,images\1204163.JPG
1204171,A60//U4783,2070,images\1204171.JPG
1204172,A61//1118X,2510,images\1204172.JPG
1204210,A98//U4706,9140,images\1204210.JPG
1204223,B50//U4777,2070,images\1204223.JPG
1204257,C01//U1913,8630,images\1204257.JPG
1204271,C20//2222X,470,images\1204271.JPG
1204272,C20//2225X,470,images\1204272.JPG
1204279,C20//U4783,930,images\1204279.JPG
1204290,C21//U1913,3660,images\1204290.JPG
1204338,C93//U4725,9810,images\1204338.JPG
1204347,D44//U408,8780,images\1204347.JPG
1204381,014//U4666,8790,images\1204381.JPG
1204384,014//U4777,3340,images\1204384.JPG
1204432,070//U4782,1330,images\1204432.JPG
1204434,070//U4812,2770,images\1204434.JPG
1204455,096//U4725,4470,images\1204455.JPG
1204458,112//U1913,3050,images\1204458.JPG
1204466,119//U1472,5650,images\1204466.JPG
1204472,121//U1477,3430,images\1204472.JPG
1204475,139//U408B,4740,images\1204475.JPG
1204484,142//U4736,7930,images\1204484.JPG
1204490,159//U4725,8960,images\1204490.JPG
1204491,159//U4736,8960,images\1204491.JPG
1204492,159//U4779,4050,images\1204492.JPG
1204509,174//U4704,3490,images\1204509.JPG
1204519,206//U4725,5700,images\1204519.JPG
1204528,244//2222X,1170,images\1204528.JPG
1204536,244//U4638,5080,images\1204536.JPG
1204538,244//U4783,1860,images\1204538.JPG
1204557,261//U4825,1110,images\1204557.JPG
1204594,419//U4725,8250,images\1204594.JPG
1204618,507//U4736,12600,images\1204618.JPG
